                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.46628,                0.37616,                0.90892,                0.97322,                      1,                0.99024,                0.89031,                0.46465,                0.39056,                0.77103,               0.001307,               0.001307,               0.001307
                     38,                 0.4498,                0.36532,                0.90653,                0.98353,                      1,                0.98539,                0.90932,                0.40655,                0.34352,                0.75689,              0.0012872,              0.0012872,              0.0012872
                     39,                0.44431,                0.35832,                 0.8946,                0.97885,                0.99465,                 0.9845,                0.90592,                0.43385,                0.37441,                0.77044,              0.0012674,              0.0012674,              0.0012674
                     40,                 0.4545,                0.36623,                0.90491,                0.98303,                 0.9893,                0.98075,                0.89149,                0.42495,                0.38239,                  0.777,              0.0012476,              0.0012476,              0.0012476
                     41,                0.44411,                0.35869,                0.90665,                0.98288,                 0.9893,                0.98364,                0.91368,                0.38606,                0.34329,                0.76042,              0.0012278,              0.0012278,              0.0012278
                     42,                 0.4471,                0.34724,                0.88618,                0.97138,                 0.9893,                0.99109,                0.90929,                 0.4173,                  0.372,                0.76503,               0.001208,               0.001208,               0.001208
                     43,                0.43525,                0.34151,                0.88807,                0.97185,                 0.9893,                0.99004,                0.91481,                0.40144,                0.37123,                0.75948,              0.0011882,              0.0011882,              0.0011882
                     44,                0.42657,                0.33621,                0.89842,                0.96848,                0.98589,                0.98465,                0.90214,                0.40338,                0.37114,                0.76147,              0.0011684,              0.0011684,              0.0011684
                     45,                0.42994,                0.34349,                0.88865,                0.96812,                 0.9893,                0.98781,                0.90508,                0.41274,                0.35097,                0.75919,              0.0011486,              0.0011486,              0.0011486
                     46,                0.43527,                0.33857,                0.89227,                0.97312,                0.99465,                0.98803,                0.90559,                0.41749,                0.33224,                0.76253,              0.0011288,              0.0011288,              0.0011288
                     47,                0.42251,                0.33128,                0.89039,                0.98411,                0.99387,                0.98786,                 0.9128,                0.39444,                0.33475,                0.75432,               0.001109,               0.001109,               0.001109
                     48,                0.43756,                0.34329,                0.88975,                0.97882,                      1,                0.99045,                0.92098,                0.39236,                0.31747,                0.74771,              0.0010892,              0.0010892,              0.0010892
                     49,                0.41801,                 0.3216,                0.88347,                0.97394,                0.99922,                0.99085,                0.90956,                0.41412,                0.32204,                0.75249,              0.0010694,              0.0010694,              0.0010694
                     50,                0.46356,                0.34464,                0.90867,                 0.9782,                      1,                0.99043,                0.91892,                 0.4003,                0.29747,                0.74303,              0.0010496,              0.0010496,              0.0010496
                     51,                 0.4283,                0.33526,                0.89002,                0.98303,                      1,                0.99288,                0.91076,                0.39022,                 0.3009,                0.74146,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.4083,                0.32243,                0.88754,                0.98366,                      1,                0.99365,                0.90768,                0.38955,                0.29816,                0.74351,                0.00101,                0.00101,                0.00101
                     53,                0.41427,                0.32214,                0.87952,                0.98371,                      1,                0.99252,                0.92028,                 0.3939,                 0.3046,                0.75005,              0.0009902,              0.0009902,              0.0009902
                     54,                0.41704,                0.31424,                0.88063,                0.98228,                      1,                0.98915,                 0.9115,                0.40334,                0.30827,                 0.7531,              0.0009704,              0.0009704,              0.0009704
                     55,                0.42091,                0.31153,                0.88531,                0.98419,                0.99839,                0.98799,                0.90029,                0.43727,                0.32803,                0.76662,              0.0009506,              0.0009506,              0.0009506
                     56,                0.40934,                0.31702,                0.88337,                0.98418,                 0.9981,                0.98879,                0.90423,                0.41406,                0.32739,                0.76188,              0.0009308,              0.0009308,              0.0009308
                     57,                0.40418,                0.31547,                0.87067,                 0.9787,                      1,                0.99015,                0.90347,                0.41043,                0.32004,                0.76283,               0.000911,               0.000911,               0.000911
                     58,                 0.4009,                0.30449,                0.89146,                0.97848,                      1,                0.98746,                0.91667,                0.38587,                0.29479,                0.75756,              0.0008912,              0.0008912,              0.0008912
                     59,                0.40148,                0.30802,                 0.8839,                0.96797,                 0.9893,                0.98931,                  0.922,                0.39019,                0.32907,                0.75158,              0.0008714,              0.0008714,              0.0008714
                     60,                0.38292,                0.29201,                0.87881,                0.97318,                 0.9893,                 0.9863,                0.90685,                 0.4036,                0.32487,                0.76386,              0.0008516,              0.0008516,              0.0008516
                     61,                0.37858,                0.29213,                0.86843,                0.97366,                0.98827,                0.98476,                 0.9041,                0.39784,                0.31293,                0.76382,              0.0008318,              0.0008318,              0.0008318
                     62,                0.37719,                0.28675,                0.86171,                  0.973,                0.98396,                0.98391,                0.91325,                0.36754,                0.29821,                0.75567,               0.000812,               0.000812,               0.000812
                     63,                0.38245,                0.29288,                0.87327,                0.97881,                      1,                0.98643,                0.92113,                0.35234,                0.28118,                0.75676,              0.0007922,              0.0007922,              0.0007922
                     64,                0.38342,                0.29326,                0.87273,                0.98338,                      1,                0.99251,                0.91615,                0.38417,                0.29511,                0.76645,              0.0007724,              0.0007724,              0.0007724
                     65,                 0.3948,                0.29447,                0.88024,                0.98312,                      1,                 0.9891,                 0.9125,                0.36822,                0.28345,                0.76193,              0.0007526,              0.0007526,              0.0007526
                     66,                0.37775,                0.28391,                 0.8733,                0.97786,                      1,                0.98412,                0.90874,                0.37979,                0.28355,                0.75692,              0.0007328,              0.0007328,              0.0007328
                     67,                0.39576,                0.29483,                0.88265,                0.97897,                0.99574,                0.98294,                0.91504,                0.38437,                0.28188,                0.76026,               0.000713,               0.000713,               0.000713
                     68,                0.37996,                0.28505,                0.86972,                0.97679,                      1,                0.98212,                 0.9101,                0.37694,                0.28423,                 0.7596,              0.0006932,              0.0006932,              0.0006932
                     69,                0.37828,                0.28035,                0.87156,                0.97896,                      1,                0.98344,                0.92683,                0.34369,                0.27389,                0.75021,              0.0006734,              0.0006734,              0.0006734
                     70,                0.36747,                0.27257,                 0.8703,                0.98329,                      1,                0.98909,                0.93013,                0.36927,                 0.2759,                0.75191,              0.0006536,              0.0006536,              0.0006536
